Article ID,Credibility Indicator ID,Credibility Indicator Category,Credibility Indicator Name,Points,Indices of Label in Article,Start,End,target_text
5ca3b67868141a99cab048484513e588028deaad7548946a6e2c68bd8bf02053,E0,Evidence,Alternative explanation,-2.0,[],-1,-1,nan
5ca3b67868141a99cab048484513e588028deaad7548946a6e2c68bd8bf02053,E1,Evidence,Alternative explanation,-3.0,[],-1,-1,nan
5ca3b67868141a99cab048484513e588028deaad7548946a6e2c68bd8bf02053,H0,Holistic,Biased,-3.926906350375459,[],-1,-1,nan
5ca3b67868141a99cab048484513e588028deaad7548946a6e2c68bd8bf02053,H1,Holistic,Low Information,-2.0,[],-1,-1,nan
5ca3b67868141a99cab048484513e588028deaad7548946a6e2c68bd8bf02053,L0,Language,Metaphor Unhelpful,-3.0,"range(142, 155)",142,155,nan
5ca3b67868141a99cab048484513e588028deaad7548946a6e2c68bd8bf02053,L1,Language,Exaggeration,-3.0,"range(5175, 5182)",5175,5182,nan
5ca3b67868141a99cab048484513e588028deaad7548946a6e2c68bd8bf02053,R0,Reasoning,Hindsight Bias,-2.0,"range(4839, 5116)",4839,5116,nan
5ca3b67868141a99cab048484513e588028deaad7548946a6e2c68bd8bf02053,R1,Reasoning,Distraction|Red Herring,-6.0,"range(4784, 5035)",4784,5035,nan
5ca3b67868141a99cab048484513e588028deaad7548946a6e2c68bd8bf02053,R2,Reasoning,Just World Fallacy,-4.0,"range(4784, 5035)",4784,5035,nan
5ca3b67868141a99cab048484513e588028deaad7548946a6e2c68bd8bf02053,R3,Reasoning,Availability Bias,-2.0,"range(3681, 4214)",3681,4214,nan
5ca3b67868141a99cab048484513e588028deaad7548946a6e2c68bd8bf02053,R4,Reasoning,Distraction|Red Herring,-1.3561438102252754,"range(3617, 4214)",3617,4214,nan
5ca3b67868141a99cab048484513e588028deaad7548946a6e2c68bd8bf02053,S0,Sourcing,Vague Sourcing,-2.0,"range(212, 962)",212,962,nan
5ca3b67868141a99cab048484513e588028deaad7548946a6e2c68bd8bf02053,S0,Sourcing,Vague Sourcing,0,"range(967, 1431)",967,1431,nan
5ca3b67868141a99cab048484513e588028deaad7548946a6e2c68bd8bf02053,S0,Sourcing,Vague Sourcing,0,"range(1436, 1850)",1436,1850,nan
5ca3b67868141a99cab048484513e588028deaad7548946a6e2c68bd8bf02053,S0,Sourcing,Vague Sourcing,0,"range(1854, 2241)",1854,2241,nan
5ca3b67868141a99cab048484513e588028deaad7548946a6e2c68bd8bf02053,S0,Sourcing,Vague Sourcing,0,"range(2298, 2602)",2298,2602,nan
5ca3b67868141a99cab048484513e588028deaad7548946a6e2c68bd8bf02053,S0,Sourcing,Vague Sourcing,0,"range(2607, 3134)",2607,3134,nan
5ca3b67868141a99cab048484513e588028deaad7548946a6e2c68bd8bf02053,S0,Sourcing,Vague Sourcing,0,"range(3159, 3557)",3159,3557,nan
5ca3b67868141a99cab048484513e588028deaad7548946a6e2c68bd8bf02053,S0,Sourcing,Vague Sourcing,0,"range(3654, 4213)",3654,4213,nan
5ca3b67868141a99cab048484513e588028deaad7548946a6e2c68bd8bf02053,S0,Sourcing,Vague Sourcing,0,"range(4219, 4240)",4219,4240,nan
5ca3b67868141a99cab048484513e588028deaad7548946a6e2c68bd8bf02053,S0,Sourcing,Vague Sourcing,0,"range(4430, 4780)",4430,4780,nan
,,,,,,,,
