namespace,schema_sha256,topic_uuid,topic_name,topic_options,question_uuid,question_label,question_text,question_type,question_hint_type,question_next_questions,alpha_distance,question_options,answer_count,answer_uuid,answer_label,answer_content,answer_next_questions,highlight,require_highlight,answer_options
Covid2_Probability2020_09_20,94b5dc9b38f5776d665cd61ba81b20dd2aab14dc2ab890db0206ab3d8ae978ad,0f859c5f-4244-4f7d-abac-9494257c4642,Probability Specialist,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",e25ff62c-9319-4f44-8d20-e1d9d8f39f2c,T1.Q1,Does the text make any claims with great confidence? Highlight the relevant part.,RADIO,,,ordinal,"{""version"": ""4"", ""alpha_distance"": ""ordinal"", ""require_one_or_more"": true, ""hint_type"": """"}",3,b772b148-c6e5-49eb-8961-1ba15ddb00f5,T1.Q1.A1,Yes,T1.Q2,1,1,"{""case_numbers"": false, ""highlight"": true, ""version"": ""4"", ""require_highlight"": true}"
Covid2_Probability2020_09_20,94b5dc9b38f5776d665cd61ba81b20dd2aab14dc2ab890db0206ab3d8ae978ad,0f859c5f-4244-4f7d-abac-9494257c4642,Probability Specialist,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",e25ff62c-9319-4f44-8d20-e1d9d8f39f2c,T1.Q1,Does the text make any claims with great confidence? Highlight the relevant part.,RADIO,,,ordinal,"{""version"": ""4"", ""alpha_distance"": ""ordinal"", ""require_one_or_more"": true, ""hint_type"": """"}",3,2012f00e-d830-4b6e-9906-b657df1d6d3e,T1.Q1.A2,Maybe,T1.Q2,1,1,"{""case_numbers"": false, ""highlight"": true, ""version"": ""4"", ""require_highlight"": true}"
Covid2_Probability2020_09_20,94b5dc9b38f5776d665cd61ba81b20dd2aab14dc2ab890db0206ab3d8ae978ad,0f859c5f-4244-4f7d-abac-9494257c4642,Probability Specialist,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",e25ff62c-9319-4f44-8d20-e1d9d8f39f2c,T1.Q1,Does the text make any claims with great confidence? Highlight the relevant part.,RADIO,,,ordinal,"{""version"": ""4"", ""alpha_distance"": ""ordinal"", ""require_one_or_more"": true, ""hint_type"": """"}",3,80337659-bcbf-4f85-bcde-dd9cd28b3acf,T1.Q1.A3,No,,0,1,"{""case_numbers"": false, ""highlight"": false, ""version"": ""4"", ""require_highlight"": true}"
Covid2_Probability2020_09_20,94b5dc9b38f5776d665cd61ba81b20dd2aab14dc2ab890db0206ab3d8ae978ad,0f859c5f-4244-4f7d-abac-9494257c4642,Probability Specialist,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",1f969aa1-e985-4c13-88f1-dc72e6c6a680,T1.Q2,To what extent does the confidence seem justified?,RADIO,,,ordinal,"{""version"": ""4"", ""alpha_distance"": ""ordinal"", ""require_one_or_more"": true, ""hint_type"": """"}",5,703a0d4d-1922-44a2-89cb-d6542179bc10,T1.Q2.A1,Completely justified,,0,1,"{""case_numbers"": true, ""highlight"": false, ""version"": ""4"", ""require_highlight"": true}"
Covid2_Probability2020_09_20,94b5dc9b38f5776d665cd61ba81b20dd2aab14dc2ab890db0206ab3d8ae978ad,0f859c5f-4244-4f7d-abac-9494257c4642,Probability Specialist,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",1f969aa1-e985-4c13-88f1-dc72e6c6a680,T1.Q2,To what extent does the confidence seem justified?,RADIO,,,ordinal,"{""version"": ""4"", ""alpha_distance"": ""ordinal"", ""require_one_or_more"": true, ""hint_type"": """"}",5,6d5cd08c-4c13-4baa-bc92-d13a447ebb72,T1.Q2.A2,Mostly justified,,0,1,"{""case_numbers"": true, ""highlight"": false, ""version"": ""4"", ""require_highlight"": true}"
Covid2_Probability2020_09_20,94b5dc9b38f5776d665cd61ba81b20dd2aab14dc2ab890db0206ab3d8ae978ad,0f859c5f-4244-4f7d-abac-9494257c4642,Probability Specialist,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",1f969aa1-e985-4c13-88f1-dc72e6c6a680,T1.Q2,To what extent does the confidence seem justified?,RADIO,,,ordinal,"{""version"": ""4"", ""alpha_distance"": ""ordinal"", ""require_one_or_more"": true, ""hint_type"": """"}",5,79c36fb8-d609-4776-b8db-51814a47535e,T1.Q2.A3,Somewhat justified,,0,1,"{""case_numbers"": true, ""highlight"": false, ""version"": ""4"", ""require_highlight"": true}"
Covid2_Probability2020_09_20,94b5dc9b38f5776d665cd61ba81b20dd2aab14dc2ab890db0206ab3d8ae978ad,0f859c5f-4244-4f7d-abac-9494257c4642,Probability Specialist,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",1f969aa1-e985-4c13-88f1-dc72e6c6a680,T1.Q2,To what extent does the confidence seem justified?,RADIO,,,ordinal,"{""version"": ""4"", ""alpha_distance"": ""ordinal"", ""require_one_or_more"": true, ""hint_type"": """"}",5,0ba79120-4d45-472d-beb3-d950123b6351,T1.Q2.A4,Slightly justified,,0,1,"{""case_numbers"": true, ""highlight"": false, ""version"": ""4"", ""require_highlight"": true}"
Covid2_Probability2020_09_20,94b5dc9b38f5776d665cd61ba81b20dd2aab14dc2ab890db0206ab3d8ae978ad,0f859c5f-4244-4f7d-abac-9494257c4642,Probability Specialist,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",1f969aa1-e985-4c13-88f1-dc72e6c6a680,T1.Q2,To what extent does the confidence seem justified?,RADIO,,,ordinal,"{""version"": ""4"", ""alpha_distance"": ""ordinal"", ""require_one_or_more"": true, ""hint_type"": """"}",5,454eea73-4c0e-471a-9147-fac43d21ee84,T1.Q2.A5,Not at all justified,,0,1,"{""case_numbers"": true, ""highlight"": false, ""version"": ""4"", ""require_highlight"": true}"
Covid2_Probability2020_09_20,94b5dc9b38f5776d665cd61ba81b20dd2aab14dc2ab890db0206ab3d8ae978ad,0f859c5f-4244-4f7d-abac-9494257c4642,Probability Specialist,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",29ca0b44-3724-480b-acaa-6c9e02f71eb8,T1.Q5,"Does the text acknowledge that their favored theory is in any way uncertain? If so, highlight the relevant section.",RADIO,,,ordinal,"{""version"": ""4"", ""alpha_distance"": ""ordinal"", ""require_one_or_more"": true, ""hint_type"": """"}",3,7c9d1e0a-8b96-4d6a-88d0-015ee54a4998,T1.Q5.A1,"Yes, explicitly",,1,1,"{""case_numbers"": false, ""highlight"": true, ""version"": ""4"", ""require_highlight"": true}"
Covid2_Probability2020_09_20,94b5dc9b38f5776d665cd61ba81b20dd2aab14dc2ab890db0206ab3d8ae978ad,0f859c5f-4244-4f7d-abac-9494257c4642,Probability Specialist,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",29ca0b44-3724-480b-acaa-6c9e02f71eb8,T1.Q5,"Does the text acknowledge that their favored theory is in any way uncertain? If so, highlight the relevant section.",RADIO,,,ordinal,"{""version"": ""4"", ""alpha_distance"": ""ordinal"", ""require_one_or_more"": true, ""hint_type"": """"}",3,8f1acbb8-80a4-4f4d-a720-7ba72133cb24,T1.Q5.A2,"Yes, implicitly",,1,1,"{""case_numbers"": false, ""highlight"": true, ""version"": ""4"", ""require_highlight"": true}"
