Article ID,Credibility Indicator ID,Credibility Indicator Category,Credibility Indicator Name,Points,Indices of Label in Article,Start,End,target_text
2183c12da70a40cb7d00a30b9c2f394ca66ce8b895bb78c43614659c6fc28f3d,H0,Holistic,Very Biased,-6.0,[],-1,-1,nan
2183c12da70a40cb7d00a30b9c2f394ca66ce8b895bb78c43614659c6fc28f3d,L0,Language,Exaggeration,-0.5,"range(1488, 1500)",1488,1500,nan
2183c12da70a40cb7d00a30b9c2f394ca66ce8b895bb78c43614659c6fc28f3d,L1,Language,Manufactured Scandal,-1.0,"range(1484, 1549)",1484,1549,nan
2183c12da70a40cb7d00a30b9c2f394ca66ce8b895bb78c43614659c6fc28f3d,L2,Language,Exaggeration,-0.5,"range(1605, 1609)",1605,1609,nan
2183c12da70a40cb7d00a30b9c2f394ca66ce8b895bb78c43614659c6fc28f3d,L3,Language,Manufactured Scandal,-3.0,"range(1555, 1630)",1555,1630,nan
2183c12da70a40cb7d00a30b9c2f394ca66ce8b895bb78c43614659c6fc28f3d,L4,Language,Problematic tone,-0.25,"range(1555, 1630)",1555,1630,nan
2183c12da70a40cb7d00a30b9c2f394ca66ce8b895bb78c43614659c6fc28f3d,L5,Language,Exaggeration,-0.25,"range(5056, 5073)",5056,5073,nan
2183c12da70a40cb7d00a30b9c2f394ca66ce8b895bb78c43614659c6fc28f3d,L6,Language,Manufactured Scandal,-1.6959938131098997,"range(5019, 5092)",5019,5092,nan
2183c12da70a40cb7d00a30b9c2f394ca66ce8b895bb78c43614659c6fc28f3d,L7,Language,Writing errors,-1.0,"range(5019, 5080)",5019,5080,nan
2183c12da70a40cb7d00a30b9c2f394ca66ce8b895bb78c43614659c6fc28f3d,L8,Language,Exaggeration,-0.75,"range(4696, 4716)",4696,4716,nan
2183c12da70a40cb7d00a30b9c2f394ca66ce8b895bb78c43614659c6fc28f3d,L9,Language,Problematic tone,-1.125,"range(4681, 4716)",4681,4716,nan
2183c12da70a40cb7d00a30b9c2f394ca66ce8b895bb78c43614659c6fc28f3d,L10,Language,Exaggeration,-0.8479969065549499,"range(287, 304)",287,304,nan
2183c12da70a40cb7d00a30b9c2f394ca66ce8b895bb78c43614659c6fc28f3d,L11,Language,Problematic tone,-1.0,"range(283, 304)",283,304,nan
2183c12da70a40cb7d00a30b9c2f394ca66ce8b895bb78c43614659c6fc28f3d,L12,Language,Writing errors,-0.356606544682321,"range(3822, 3831)",3822,3831,nan
